jurisdiction,state,white,black,hispanic,asian,native_hawaiian_or_pacific_islander,american_indian_or_alaska_native,more_than_one_race,total
Westmoreland County,Pennsylvania,30.0,104.3,,,,,,31.5
York County,Pennsylvania,26.9,88.1,30.5,,,,,30.6
Providence County,Rhode Island,47.2,52.2,46.5,,,,,46.6
Aiken County,South Carolina,62.6,39.8,,,,,,51.1
Charleston County,South Carolina,47.6,62.1,42.6,,,,,49.8
Florence County,South Carolina,86.3,37.1,,,,,,61.4
Greenville County,South Carolina,59.8,45.9,24.8,,,,,50.7
Horry County,South Carolina,62.5,57.2,,,,,,58.5
Lancaster County,South Carolina,54.3,48.3,,,,,,48.8
Lexington County,South Carolina,44.0,45.1,,,,,,40.4
Orangeburg County,South Carolina,65.0,35.5,,,,,,46.9
Richland County,South Carolina,37.0,28.0,,,,,,30.4
Spartanburg County,South Carolina,63.2,51.7,,,,,,54.9
Sumter County,South Carolina,41.2,30.6,,,,,,33.6
York County,South Carolina,47.0,23.5,,,,,,36.7
Davidson County,Tennessee,102.2,109.7,59.3,,,,65.3,97.0
Hamilton County,Tennessee,68.3,59.1,,,,,,61.4
Knox County,Tennessee,111.5,144.9,54.9,,,,,107.0
Madison County,Tennessee,35.1,42.9,,,,,,36.3
Montgomery County,Tennessee,36.6,28.3,,,,,,30.2
Rutherford County,Tennessee,37.9,16.7,,,,,,31.6
Shelby County,Tennessee,62.9,71.8,58.1,,,,,64.6
Bell County,Texas,18.0,23.1,,,,,,15.2
Bexar County,Texas,31.4,24.0,19.3,,,,,22.0
Brazoria County,Texas,23.9,16.1,7.9,,,,,15.2
Collin County,Texas,16.2,8.4,5.4,,,,,10.5
Dallas County,Texas,39.4,33.0,12.7,,,,,23.6
Denton County,Texas,12.6,,5.6,,,,,9.1
Ector County,Texas,50.2,,13.3,,,,,23.6
El Paso County,Texas,30.9,,16.2,,,,,18.3
Fort Bend County,Texas,15.8,5.3,8.4,,,,,8.2
Galveston County,Texas,26.0,31.2,,,,,,19.9
Harris County,Texas,38.1,36.8,12.3,5.5,,,,23.4
Hays County,Texas,10.2,,10.9,,,,,10.0
Jefferson County,Texas,41.6,39.5,,,,,,31.5
Lubbock County,Texas,24.0,,12.6,,,,,19.2
McLennan County,Texas,15.1,29.9,,,,,,13.5
Midland County,Texas,15.7,,11.9,,,,,15.1
Montgomery County,Texas,22.3,,7.6,,,,,16.7
Nueces County,Texas,51.5,,20.9,,,,,30.1
Tarrant County,Texas,25.5,26.2,12.3,,,,,19.8
Travis County,Texas,37.8,36.5,21.2,,,,,29.3
Williamson County,Texas,16.6,,8.2,,,,,11.5
Salt Lake County,Utah,26.8,,18.4,,,,,24.6
Chesterfield County,Virginia,18.6,19.4,,,,,,17.2
Fairfax County,Virginia,9.1,17.3,14.6,,,,,9.3
Henrico County,Virginia,37.2,46.9,,,,,,35.3
Prince William County,Virginia,21.0,25.3,11.2,,,,,17.9
Chesapeake city,Virginia,28.7,22.7,,,,,,24.2
Hampton city,Virginia,62.8,23.1,,,,,,36.2
Lynchburg city,Virginia,48.8,64.1,,,,,,50.4
Newport News city,Virginia,38.9,45.7,,,,,,38.5
Norfolk city,Virginia,51.5,67.1,,,,,,53.6
