jurisdiction,state,white,black,hispanic,asian,native_hawaiian_or_pacific_islander,american_indian_or_alaska_native,more_than_one_race,total
Georgetown County,South Carolina,55.6,54.9,,,,,,54.1
Greenville County,South Carolina,47.8,58.4,19.5,,,,,44.9
Horry County,South Carolina,61.8,68.2,,,,,,59.3
Lancaster County,South Carolina,58.4,72.5,,,,,,55.5
Lexington County,South Carolina,34.5,45.1,,,,,,33.8
Orangeburg County,South Carolina,54.2,49.3,,,,,,49.3
Richland County,South Carolina,32.9,26.5,,,,,,28.2
Spartanburg County,South Carolina,56.7,58.9,,,,,,51.2
Sumter County,South Carolina,60.7,28.5,,,,,,40.4
York County,South Carolina,49,36.1,,,,,,42.5
Davidson County,Tennessee,52.4,61.3,34.8,,,,,51.5
Hamilton County,Tennessee,55.1,59.1,47.4,,,,,53.6
Hardeman County,Tennessee,108.7,123.9,,,,,,109.7
Knox County,Tennessee,107,135.4,,,,,,100.9
Madison County,Tennessee,44.3,48.3,,,,,,44.3
Montgomery County,Tennessee,31.7,26.3,,,,,,29.8
Rutherford County,Tennessee,31.7,30.1,30.5,,,,,30.2
Shelby County,Tennessee,135.6,89.1,82.6,,,,,103
Bell County,Texas,24.6,12.7,,,,,,16.5
Bexar County,Texas,32.3,35.9,21,,,,,24.6
Brazoria County,Texas,25.7,22.6,19,,,,,21.1
Collin County,Texas,14.8,9.1,6.5,,,,,9.9
Dallas County,Texas,39.8,44.9,14.8,,,,,27.6
Denton County,Texas,14.1,11.3,6.1,,,,,10.3
Ector County,Texas,36.5,,14.2,,,,,19.9
El Paso County,Texas,41.2,,16.4,,,,,20.4
Fort Bend County,Texas,14.6,9,7.5,,,,,8.5
Galveston County,Texas,28,,14.6,,,,,21.8
Harris County,Texas,36.9,36.6,12.3,6.9,,,14.2,23.3
Hays County,Texas,14.6,,10,,,,,13.7
Hidalgo County,Texas,19.8,,4.7,,,,,5.5
Jefferson County,Texas,46.9,25.1,,,,,,29.5
Lubbock County,Texas,20.3,,10.9,,,,,16.4
McLennan County,Texas,13,27.1,,,,,,13.9
Montgomery County,Texas,24.8,,8.2,,,,,18.3
Nueces County,Texas,37,,11.7,,,,,19.3
Tarrant County,Texas,32.2,31.9,14.4,,,,,24.5
Travis County,Texas,36.7,63.3,26.7,,,,,32.6
Williamson County,Texas,17.7,,10.6,,,,,13.7
Salt Lake County,Utah,30.5,52.8,18,,,,,27.1
Arlington County,Virginia,7.9,47.2,27.4,,,,,15
Chesterfield County,Virginia,26.4,20.5,,,,,,21.7
Fairfax County,Virginia,13,15.6,15.7,4.2,,,,11.6
Henrico County,Virginia,30.1,57.9,,,,,,35.9
Prince William County,Virginia,17.8,14.2,11.2,,,,,12.9
Chesapeake city,Virginia,28.7,28.1,,,,,,25
Danville city,Virginia,101.8,50.1,,,,,,68.7
Hampton city,Virginia,50.7,30.3,,,,,,34
Hopewell city,Virginia,167.2,159.2,,,,,,143.7
Lynchburg city,Virginia,40.7,45.8,,,,,,41.6
Newport News city,Virginia,41.6,31.4,,,,,,36.4
Norfolk city,Virginia,54.6,77.7,,,,,,60.9
Petersburg city,Virginia,298.9,118.7,,,,,,137.7
Portsmouth city,Virginia,108.6,106.1,,,,,,101
Richmond city,Virginia,84.6,224.4,73.3,,,,,143
Roanoke city,Virginia,126.9,95.8,,,,,,118.6
Virginia Beach city,Virginia,26.4,45.9,,,,,,27.9
Benton County,Washington,26.7,,24.5,,,,,26.3
Clark County,Washington,31.5,,18.7,,,,,28.8
Grant County,Washington,34.5,,27.2,,,,,32.6
King County,Washington,59.9,168.9,56.4,11.3,77.2,350.2,55.5,58.9
Pierce County,Washington,48.2,99.2,41.2,14.7,,220.8,42.7,50.9
Snohomish County,Washington,46.5,37.1,28.7,,,140.8,33.5,38.8
Spokane County,Washington,42.3,127.8,55.3,,,170.4,45,46.2
Thurston County,Washington,47.5,,,,,,73.9,45.5
Whatcom County,Washington,44.5,,53.5,,,238.4,,51.6
Yakima County,Washington,49.6,,20.7,,,170.6,,39.3
Cabell County,West Virginia,161.4,294.7,,,,,,161.8
Kanawha County,West Virginia,109.5,215.4,,,,,,114
Brown County,Wisconsin,23,,,,,163.6,,27
Dane County,Wisconsin,23.7,102.3,,,,,,26.4
Milwaukee County,Wisconsin,62.8,111.2,64.3,,,,,72.7
Racine County,Wisconsin,27.8,93.6,,,,,,32.2
Rock County,Wisconsin,34.5,125.3,,,,,,36.6
